exp;video;cytokinesis;cut;x;y
EXP2;siControl-9;137;146;529;464
EXP2;siControl-9;139;153;945;540
EXP2;siControl-9;141;154;1417;669
EXP2;siControl-9;156;166;230;912
EXP2;siControl-9;162;171;789;381
EXP2;siControl-9;187;200;376;820
EXP2;siControl-9;189;197;613;761
EXP2;siControl-9;191;200;557;1041
EXP2;siControl-9;199;212;264;450
EXP2;siControl-9;213;224;1132;998
EXP2;siControl-9;216;224;966;792
EXP2;siControl-9;219;229;420;1049
EXP2;siControl-9;226;235;404;245
EXP2;siControl-9;228;239;1302;169
EXP2;siControl-9;232;245;1458;194
EXP2;siControl-9;249;261;1202;582
EXP2;siControl-9;253;265;1404;876
EXP2;siControl-8;11;23;1021;356
EXP2;siControl-8;18;37;1246;796
EXP2;siControl-8;25;35;842;944
EXP2;siControl-8;34;42;1336;798
EXP2;siControl-8;38;63;1225;616
EXP2;siControl-8;40;58;581;89
EXP2;siControl-8;48;57;568;409
EXP2;siControl-8;53;65;33;138
EXP2;siControl-8;75;88;561;866
EXP2;siControl-8;77;87;153;804
EXP2;siControl-8;77;89;378;430
EXP2;siControl-8;80;90;854;526
EXP2;siControl-8;132;144;1036;170
EXP2;siControl-8;139;157;834;684
EXP2;siControl-8;139;149;677;897
EXP2;siControl-8;145;157;1096;854
EXP2;siControl-8;145;153;1372;858
EXP2;siControl-8;159;167;734;1000
EXP2;siControl-8;161;174;920;505
EXP2;siControl-8;164;174;176;265
EXP2;siControl-8;164;175;1349;501
EXP2;siControl-8;166;179;1232;672
EXP2;siControl-8;168;183;1085;485
EXP2;siControl-8;171;180;1022;822
EXP2;siControl-8;176;184;324;61
EXP2;siControl-8;179;187;1286;288
EXP2;siControl-8;178;188;26;756
EXP2;siControl-8;195;208;516;774
EXP2;siControl-8;196;205;225;721
EXP2;siControl-8;196;206;248;932
EXP2;siControl-8;203;217;546;237
EXP2;siControl-8;204;217;652;464
EXP2;siControl-8;205;215;580;578
EXP2;siControl-8;212;220;1285;737
EXP2;siControl-8;214;227;774;109
EXP2;siControl-8;225;237;254;396
EXP2;siControl-8;238;251;433;293
EXP2;siControl-7;9;22;1216;790
EXP2;siControl-7;15;26;534;596
EXP2;siControl-7;54;63;454;1042
EXP2;siControl-7;59;73;1400;486
EXP2;siControl-7;69;89;1536;406
EXP2;siControl-7;80;94;548;20
EXP2;siControl-7;86;96;968;240
EXP2;siControl-7;88;102;1284;52
EXP2;siControl-7;92;115;1262;164
EXP2;siControl-7;96;108;392;58
EXP2;siControl-7;104;115;540;384
EXP2;siControl-7;107;124;190;534
EXP2;siControl-7;118;131;484;470
EXP2;siControl-7;120;130;1532;946
EXP2;siControl-7;124;139;734;14
EXP2;siControl-7;127;141;646;278
EXP2;siControl-7;132;145;1080;1036
EXP2;siControl-7;156;167;1346;548
EXP2;siControl-7;159;168;672;590
EXP2;siControl-7;160;173;1222;868
EXP2;siControl-7;168;192;1050;802
EXP2;siControl-7;184;191;324;780
EXP2;siControl-7;185;196;1498;660
EXP2;siControl-7;201;210;1374;438
EXP2;siControl-7;207;216;974;204
EXP2;siControl-7;217;229;444;198
EXP2;siControl-7;221;244;1226;134
EXP2;siControl-7;225;242;438;336
EXP2;siControl-7;226;234;746;1016
EXP2;siControl-7;229;247;1534;60
EXP2;siControl-7;243;256;1214;798
EXP2;siControl-7;243;258;1418;886
EXP2;siControl-7;265;277;612;384
EXP2;siControl-6;17;43;396;188
EXP2;siControl-6;32;61;1204;790
EXP2;siControl-6;37;51;580;626
EXP2;siControl-6;43;55;502;458
EXP2;siControl-6;48;57;58;412
EXP2;siControl-6;51;61;1532;724
EXP2;siControl-6;59;84;764;786
EXP2;siControl-6;67;90;774;236
EXP2;siControl-6;79;92;1352;400
EXP2;siControl-6;84;95;940;366
EXP2;siControl-6;98;122;408;1050
EXP2;siControl-6;107;128;228;174
EXP2;siControl-6;108;118;990;106
EXP2;siControl-6;154;166;1372;744
EXP2;siControl-6;156;174;220;318
EXP2;siControl-6;157;173;1196;600
EXP2;siControl-6;176;185;276;632
EXP2;siControl-6;180;187;190;456
EXP2;siControl-6;182;192;998;1018
EXP2;siControl-6;186;195;850;674
EXP2;siControl-6;188;198;794;256
EXP2;siControl-6;192;201;1226;850
EXP2;siControl-6;195;207;832;464
EXP2;siControl-6;196;209;372;834
EXP2;siControl-6;199;210;1320;430
EXP2;siControl-6;204;215;698;526
EXP2;siControl-6;206;217;566;270
EXP2;siControl-6;216;224;22;400
EXP2;siControl-6;218;230;666;1036
EXP2;siControl-6;228;243;386;1002
EXP2;siControl-6;233;245;1016;292
EXP2;siControl-6;234;248;524;156
EXP2;siControl-6;255;270;920;36
EXP2;siControl-5;6;17;960;734
EXP2;siControl-5;7;19;490;228
EXP2;siControl-5;8;18;84;314
EXP2;siControl-5;11;20;60;660
EXP2;siControl-5;15;24;236;296
EXP2;siControl-5;18;29;772;380
EXP2;siControl-5;21;29;516;838
EXP2;siControl-5;40;50;1050;434
EXP2;siControl-5;46;58;1214;212
EXP2;siControl-5;64;80;1212;528
EXP2;siControl-5;75;94;400;860
EXP2;siControl-5;109;121;156;198
EXP2;siControl-5;113;123;106;526
EXP2;siControl-5;114;124;1402;314
EXP2;siControl-5;121;129;522;544
EXP2;siControl-5;122;132;1202;858
EXP2;siControl-5;125;136;498;80
EXP2;siControl-5;135;146;1420;840
EXP2;siControl-5;135;157;638;880
EXP2;siControl-5;139;148;424;206
EXP2;siControl-5;143;151;206;588
EXP2;siControl-5;150;159;1050;716
EXP2;siControl-5;154;162;678;452
EXP2;siControl-5;162;170;320;332
EXP2;siControl-5;163;172;1106;208
EXP2;siControl-5;164;173;670;278
EXP2;siControl-5;166;175;868;702
EXP2;siControl-5;170;180;1324;108
EXP2;siControl-5;170;181;1008;1042
EXP2;siControl-5;173;183;446;726
EXP2;siControl-5;173;183;1390;458
EXP2;siControl-5;175;183;942;408
EXP2;siControl-5;180;187;790;198
EXP2;siControl-5;183;194;1134;574
EXP2;siControl-5;202;211;96;852
EXP2;siControl-5;205;216;332;1030
EXP2;siControl-5;218;231;288;796
EXP2;siControl-5;232;240;84;738
EXP2;siControl-5;241;249;502;48
EXP2;siControl-5;244;254;120;68
EXP2;siControl-5;246;254;68;458
EXP2;siControl-5;253;267;192;218
EXP2;siControl-5;255;273;720;840
EXP2;siControl-4;12;26;1106;660
EXP2;siControl-4;37;68;477;648
EXP2;siControl-4;43;62;276;876
EXP2;siControl-4;61;71;917;569
EXP2;siControl-4;69;76;1005;194
EXP2;siControl-4;68;77;1221;465
EXP2;siControl-4;72;83;1364;1026
EXP2;siControl-4;78;92;554;867
EXP2;siControl-4;133;148;102;500
EXP2;siControl-4;167;175;665;942
EXP2;siControl-4;173;186;286;730
EXP2;siControl-4;181;195;62;968
EXP2;siControl-4;196;208;388;389
EXP2;siControl-4;199;209;809;187
EXP2;siControl-4;204;212;48;181
EXP2;siControl-4;219;230;537;149
EXP2;siControl-3;13;23;1208;402
EXP2;siControl-3;41;58;357;465
EXP2;siControl-3;44;65;1062;92
EXP2;siControl-3;40;53;330;721
EXP2;siControl-3;55;68;574;80
EXP2;siControl-3;66;79;570;773
EXP2;siControl-3;83;95;720;36
EXP2;siControl-3;90;98;738;249
EXP2;siControl-3;107;113;788;312
EXP2;siControl-3;135;145;1169;984
EXP2;siControl-3;149;165;1441;528
EXP2;siControl-3;157;169;1110;414
EXP2;siControl-3;162;171;358;356
EXP2;siControl-3;167;172;342;853
EXP2;siControl-3;186;196;1321;293
EXP2;siControl-3;190;200;1236;240
EXP2;siControl-3;207;215;522;904
EXP2;siControl-3;207;215;500;325
EXP2;siControl-3;216;222;1020;773
EXP2;siControl-3;219;229;1098;564
EXP2;siControl-3;226;233;717;482
EXP2;siControl-3;229;238;836;282
EXP2;siControl-2;21;36;772;844
EXP2;siControl-2;28;37;1340;513
EXP2;siControl-2;42;59;1281;301
EXP2;siControl-2;63;72;700;433
EXP2;siControl-2;79;89;393;604
EXP2;siControl-2;80;90;390;162
EXP2;siControl-2;81;89;525;222
EXP2;siControl-2;76;87;690;216
EXP2;siControl-2;87;111;966;308
EXP2;siControl-2;103;117;1081;188
EXP2;siControl-2;103;125;458;896
EXP2;siControl-2;112;129;758;573
EXP2;siControl-2;131;143;540;1014
EXP2;siControl-2;153;163;925;786
EXP2;siControl-2;147;158;672;869
EXP2;siControl-2;130;145;840;318
EXP2;siControl-2;183;192;1545;809
EXP2;siControl-2;203;209;445;66
EXP2;siControl-2;203;213;290;254
EXP2;siControl-2;217;238;418;330
EXP2;siControl-2;244;259;920;481
EXP2;siControl-2;245;260;960;929
EXP2;siControl-2;254;268;930;338
EXP2;siControl-2;251;261;829;277
EXP2;siControl-1;12;25;184;849
EXP2;siControl-1;33;46;1202;238
EXP2;siControl-1;60;71;889;216
EXP2;siControl-1;94;107;608;453
EXP2;siControl-1;99;114;498;338
EXP2;siControl-1;101;122;101;386
EXP2;siControl-1;117;131;430;317
EXP2;siControl-1;164;177;809;116
EXP2;siControl-1;168;173;766;244
EXP2;siControl-1;148;165;122;874
EXP2;siControl-1;164;177;810;114
EXP2;siControl-1;184;193;1330;192
EXP2;siControl-1;189;204;977;42
EXP2;siControl-1;196;211;634;686
EXP2;siControl-1;219;230;466;748
EXP2;siControl-1;238;251;248;222
EXP2;siControl-1;234;258;89;528
EXP2;siControl-1;257;271;162;926
EXP2;siControl-1;224;237;765;533
EXP2;siCEP55-10;18;32;133;518
EXP2;siCEP55-10;18;67;1309;456
EXP2;siCEP55-10;20;55;1406;829
EXP2;siCEP55-10;33;86;1541;569
EXP2;siCEP55-10;63;74;901;376
EXP2;siCEP55-10;70;176;441;688
EXP2;siCEP55-10;122;129;1381;205
EXP2;siCEP55-10;138;166;1373;640
EXP2;siCEP55-10;143;179;104;438
EXP2;siCEP55-10;151;176;1474;520
EXP2;siCEP55-10;193;267;436;688
EXP2;siCEP55-10;206;282;713;838
EXP2;siCEP55-10;246;287;1397;130
EXP2;siCEP55-9;15;64;402;684
EXP2;siCEP55-9;72;143;1398;877
EXP2;siCEP55-9;75;108;1376;542
EXP2;siCEP55-9;87;147;996;442
EXP2;siCEP55-9;195;235;1413;628
EXP2;siCEP55-9;198;232;1438;260
EXP2;siCEP55-9;206;276;1248;738
EXP2;siCEP55-9;180;207;1504;974
EXP2;siCEP55-9;219;248;1041;448
EXP2;siCEP55-9;238;264;818;808
EXP2;siCEP55-8;44;101;786;189
EXP2;siCEP55-8;82;92;192;320
EXP2;siCEP55-8;114;141;397;420
EXP2;siCEP55-8;191;202;828;277
EXP2;siCEP55-7;16;56;707;1058
EXP2;siCEP55-7;25;95;634;452
EXP2;siCEP55-7;35;61;220;539
EXP2;siCEP55-7;56;107;778;201
EXP2;siCEP55-7;79;116;249;64
EXP2;siCEP55-7;101;128;1431;565
EXP2;siCEP55-7;105;115;1522;935
EXP2;siCEP55-7;107;155;1402;462
EXP2;siCEP55-7;110;156;1339;819
EXP2;siCEP55-7;157;246;521;773
EXP2;siCEP55-7;177;210;383;515
EXP2;siCEP55-7;192;209;609;641
EXP2;siCEP55-7;224;247;217;44
EXP2;siCEP55-7;225;240;1498;448
EXP2;siCEP55-7;228;254;1293;384
EXP2;siCEP55-6;28;48;896;934
EXP2;siCEP55-6;59;94;505;855
EXP2;siCEP55-6;70;93;1251;565
EXP2;siCEP55-6;114;234;736;768
EXP2;siCEP55-6;190;215;1063;606
EXP2;siCEP55-6;195;265;1188;22
EXP2;siCEP55-6;209;240;1345;350
EXP2;siCEP55-6;215;237;1279;77
EXP2;siCEP55-5;16;56;518;904
EXP2;siCEP55-5;25;97;444;294
EXP2;siCEP55-5;42;68;108;814
EXP2;siCEP55-5;56;106;584;48
EXP2;siCEP55-5;83;213;963;858
EXP2;siCEP55-5;101;126;1242;415
EXP2;siCEP55-5;105;122;1327;775
EXP2;siCEP55-5;107;153;1204;308
EXP2;siCEP55-5;110;157;1140;657
EXP2;siCEP55-5;157;247;331;620
EXP2;siCEP55-5;170;194;172;818
EXP2;siCEP55-5;171;193;514;36
EXP2;siCEP55-5;177;210;186;364
EXP2;siCEP55-5;217;241;1278;878
EXP2;siCEP55-5;225;239;1300;294
EXP2;siCEP55-5;228;253;1092;226
EXP2;siCEP55-4;47;117;728;328
EXP2;siCEP55-4;52;96;186;653
EXP2;siCEP55-4;60;145;410;661
EXP2;siCEP55-4;113;125;485;182
EXP2;siCEP55-4;94;131;453;909
EXP2;siCEP55-4;90;128;80;898
EXP2;siCEP55-4;188;224;285;656
EXP2;siCEP55-4;191;236;66;590
EXP2;siCEP55-4;227;254;257;1010
EXP2;siCEP55-4;230;251;272;1008
EXP2;siCEP55-4;247;281;200;444
EXP2;siCEP55-3;13;22;389;621
EXP2;siCEP55-3;78;120;802;222
EXP2;siCEP55-3;80;126;1285;386
EXP2;siCEP55-3;72;180;305;118
EXP2;siCEP55-3;116;125;316;425
EXP2;siCEP55-3;85;114;1258;186
EXP2;siCEP55-3;84;110;948;310
EXP2;siCEP55-3;149;158;193;924
EXP2;siCEP55-3;126;162;552;344
EXP2;siCEP55-3;173;217;522;728
EXP2;siCEP55-3;200;214;773;474
EXP2;siCEP55-3;205;224;698;324
EXP2;siCEP55-3;211;232;1076;312
EXP2;siCEP55-3;216;257;905;153
EXP2;siCEP55-3;217;242;1094;210
EXP2;siCEP55-3;202;209;1356;232
EXP2;siCEP55-3;205;226;697;325
EXP2;siCEP55-3;209;240;1320;156
EXP2;siCEP55-1;3;28;953;704
EXP2;siCEP55-1;8;97;753;650
EXP2;siCEP55-1;20;90;598;298
EXP2;siCEP55-1;20;78;773;494
EXP2;siCEP55-1;69;149;1102;56
EXP2;siCEP55-1;104;142;33;898
EXP2;siCEP55-1;127;162;1130;534
EXP2;siCEP55-1;119;167;1310;612
EXP2;siCEP55-1;138;165;128;344
EXP2;siCEP55-1;138;177;668;605
EXP2;siCEP55-1;135;196;516;224
EXP2;siCEP55-1;251;269;993;752
EXP2;siCEP55-1;259;282;325;342
EXP2;siMICAL1-10;36;44;482;414
EXP2;siMICAL1-10;36;46;112;236
EXP2;siMICAL1-10;51;65;529;90
EXP2;siMICAL1-10;57;66;322;225
EXP2;siMICAL1-10;58;72;188;62
EXP2;siMICAL1-10;70;82;1050;376
EXP2;siMICAL1-10;76;92;1272;65
EXP2;siMICAL1-10;78;91;654;737
EXP2;siMICAL1-10;86;95;722;404
EXP2;siMICAL1-10;86;98;986;94
EXP2;siMICAL1-10;91;101;264;808
EXP2;siMICAL1-10;97;110;1538;490
EXP2;siMICAL1-10;120;130;1392;529
EXP2;siMICAL1-10;121;131;1557;622
EXP2;siMICAL1-10;134;143;1400;326
EXP2;siMICAL1-10;154;163;1485;945
EXP2;siMICAL1-10;164;175;772;526
EXP2;siMICAL1-10;169;178;1005;452
EXP2;siMICAL1-10;177;185;49;454
EXP2;siMICAL1-10;179;185;498;381
EXP2;siMICAL1-10;185;197;168;270
EXP2;siMICAL1-10;193;202;402;266
EXP2;siMICAL1-10;202;211;1537;373
EXP2;siMICAL1-10;203;214;249;69
EXP2;siMICAL1-10;204;214;337;328
EXP2;siMICAL1-10;205;215;762;341
EXP2;siMICAL1-10;215;223;616;336
EXP2;siMICAL1-10;216;229;202;785
EXP2;siMICAL1-10;217;224;220;764
EXP2;siMICAL1-10;229;240;526;618
EXP2;siMICAL1-10;231;238;1161;378
EXP2;siMICAL1-10;234;244;1276;529
EXP2;siMICAL1-9;4;18;1286;528
EXP2;siMICAL1-9;13;26;694;501
EXP2;siMICAL1-9;36;51;229;405
EXP2;siMICAL1-9;75;89;1185;266
EXP2;siMICAL1-9;91;109;836;128
EXP2;siMICAL1-9;104;116;538;594
EXP2;siMICAL1-9;108;121;189;948
EXP2;siMICAL1-9;114;125;698;276
EXP2;siMICAL1-9;116;131;394;810
EXP2;siMICAL1-9;116;128;349;488
EXP2;siMICAL1-9;129;139;1128;770
EXP2;siMICAL1-9;130;140;862;442
EXP2;siMICAL1-9;137;147;662;489
EXP2;siMICAL1-9;144;155;574;165
EXP2;siMICAL1-9;152;165;833;940
EXP2;siMICAL1-9;166;175;1057;1022
EXP2;siMICAL1-9;167;176;992;554
EXP2;siMICAL1-9;173;184;1372;102
EXP2;siMICAL1-9;180;193;1037;722
EXP2;siMICAL1-9;185;192;272;281
EXP2;siMICAL1-9;187;195;1106;172
EXP2;siMICAL1-9;188;206;1322;888
EXP2;siMICAL1-9;220;231;490;857
EXP2;siMICAL1-9;230;250;758;109
EXP2;siMICAL1-9;232;241;596;228
EXP2;siMICAL1-9;237;250;768;334
EXP2;siMICAL1-9;241;250;492;401
EXP2;siMICAL1-9;266;280;1224;685
EXP2;siMICAL1-9;271;289;396;773
EXP2;siMICAL1-8;19;31;1480;693
EXP2;siMICAL1-8;35;47;976;261
EXP2;siMICAL1-8;51;63;605;486
EXP2;siMICAL1-8;53;62;725;78
EXP2;siMICAL1-8;60;72;972;557
EXP2;siMICAL1-8;62;78;594;682
EXP2;siMICAL1-8;76;92;1165;840
EXP2;siMICAL1-8;82;100;285;702
EXP2;siMICAL1-8;98;113;664;196
EXP2;siMICAL1-8;164;173;1533;982
EXP2;siMICAL1-8;174;184;1126;582
EXP2;siMICAL1-8;175;183;890;357
EXP2;siMICAL1-8;175;183;1234;254
EXP2;siMICAL1-8;181;189;781;770
EXP2;siMICAL1-8;188;197;576;594
EXP2;siMICAL1-8;190;198;316;440
EXP2;siMICAL1-8;200;211;657;436
EXP2;siMICAL1-8;202;211;1350;1004
EXP2;siMICAL1-8;207;218;1132;737
EXP2;siMICAL1-8;225;241;352;705
EXP2;siMICAL1-8;227;260;176;514
EXP2;siMICAL1-8;238;252;589;244
EXP2;siMICAL1-8;273;282;1465;941
EXP2;siMICAL1-7;16;36;548;593
EXP2;siMICAL1-7;37;58;836;514
EXP2;siMICAL1-7;45;62;1260;915
EXP2;siMICAL1-7;53;61;911;912
EXP2;siMICAL1-7;66;84;1146;53
EXP2;siMICAL1-7;74;92;1459;148
EXP2;siMICAL1-7;111;129;1121;567
EXP2;siMICAL1-7;117;135;1453;293
EXP2;siMICAL1-7;145;157;546;626
EXP2;siMICAL1-7;147;157;233;591
EXP2;siMICAL1-7;159;170;1226;798
EXP2;siMICAL1-7;165;175;1263;1072
EXP2;siMICAL1-7;185;195;787;841
EXP2;siMICAL1-7;185;197;949;989
EXP2;siMICAL1-7;187;202;1494;720
EXP2;siMICAL1-7;195;205;1095;296
EXP2;siMICAL1-7;223;238;433;481
EXP2;siMICAL1-7;259;277;583;818
EXP2;siMICAL1-6;13;26;167;213
EXP2;siMICAL1-6;14;24;366;223
EXP2;siMICAL1-6;36;46;109;530
EXP2;siMICAL1-6;36;45;698;626
EXP2;siMICAL1-6;51;69;1500;189
EXP2;siMICAL1-6;74;86;73;136
EXP2;siMICAL1-6;101;115;966;381
EXP2;siMICAL1-6;110;120;971;760
EXP2;siMICAL1-6;119;131;441;101
EXP2;siMICAL1-6;134;143;155;326
EXP2;siMICAL1-6;155;170;1175;944
EXP2;siMICAL1-6;159;167;115;1003
EXP2;siMICAL1-6;174;184;195;635
EXP2;siMICAL1-6;177;185;61;501
EXP2;siMICAL1-6;181;189;1084;632
EXP2;siMICAL1-6;190;196;756;790
EXP2;siMICAL1-6;192;201;626;505
EXP2;siMICAL1-6;218;228;948;402
EXP2;siMICAL1-6;221;248;60;188
EXP2;siMICAL1-6;226;235;472;611
EXP2;siMICAL1-6;230;246;886;299
EXP2;siMICAL1-6;231;242;1130;609
EXP2;siMICAL1-6;234;243;918;898
EXP2;siMICAL1-6;274;285;430;95
EXP2;siMICAL1-5;5;24;1194;139
EXP2;siMICAL1-5;6;24;1328;403
EXP2;siMICAL1-5;24;40;863;1002
EXP2;siMICAL1-5;30;40;949;913
EXP2;siMICAL1-5;31;44;1284;960
EXP2;siMICAL1-5;54;73;589;953
EXP2;siMICAL1-5;55;70;54;825
EXP2;siMICAL1-5;70;85;178;1013
EXP2;siMICAL1-5;76;90;285;917
EXP2;siMICAL1-5;83;100;1260;376
EXP2;siMICAL1-5;123;140;472;485
EXP2;siMICAL1-5;161;172;640;953
EXP2;siMICAL1-5;170;183;818;802
EXP2;siMICAL1-5;184;195;1073;858
EXP2;siMICAL1-5;185;211;1113;90
EXP2;siMICAL1-5;186;196;842;1042
EXP2;siMICAL1-5;196;220;1252;632
EXP2;siMICAL1-5;197;207;242;948
EXP2;siMICAL1-5;198;212;976;442
EXP2;siMICAL1-5;202;213;348;906
EXP2;siMICAL1-5;211;220;134;998
EXP2;siMICAL1-5;210;221;1206;1005
EXP2;siMICAL1-5;217;226;237;1041
EXP2;siMICAL1-4;12;26;1401;551
EXP2;siMICAL1-4;28;36;1445;562
EXP2;siMICAL1-4;55;71;1298;380
EXP2;siMICAL1-4;67;77;345;296
EXP2;siMICAL1-4;92;101;661;601
EXP2;siMICAL1-4;95;104;1017;1078
EXP2;siMICAL1-4;116;132;762;282
EXP2;siMICAL1-4;117;126;672;816
EXP2;siMICAL1-4;133;146;200;696
EXP2;siMICAL1-4;169;177;167;416
EXP2;siMICAL1-4;203;211;362;500
EXP2;siMICAL1-4;205;213;546;528
EXP2;siMICAL1-4;207;218;797;617
EXP2;siMICAL1-4;209;227;1029;932
EXP2;siMICAL1-4;247;259;609;720
EXP2;siMICAL1-4;249;259;660;116
EXP2;siMICAL1-4;250;263;845;452
EXP2;siMICAL1-4;259;270;878;195
EXP2;siMICAL1-4;265;278;625;875
EXP2;siMICAL1-3;8;17;769;388
EXP2;siMICAL1-3;13;31;986;712
EXP2;siMICAL1-3;38;62;734;873
EXP2;siMICAL1-3;59;70;1021;596
EXP2;siMICAL1-3;64;101;593;385
EXP2;siMICAL1-3;89;102;1436;788
EXP2;siMICAL1-3;132;141;905;726
EXP2;siMICAL1-3;146;158;688;772
EXP2;siMICAL1-3;151;161;152;948
EXP2;siMICAL1-3;185;195;1029;737
EXP2;siMICAL1-3;195;203;842;1002
EXP2;siMICAL1-3;203;213;862;401
EXP2;siMICAL1-3;204;213;1277;745
EXP2;siMICAL1-3;214;224;1552;830
EXP2;siMICAL1-3;221;233;1456;684
EXP2;siMICAL1-3;225;239;752;1065
EXP2;siMICAL1-3;234;254;677;190
EXP2;siMICAL1-3;233;255;749;654
EXP2;siMICAL1-3;251;261;1258;937
EXP2;siMICAL1-3;257;266;838;618
EXP2;siMICAL1-3;261;274;898;820
EXP2;siMICAL1-3;273;284;234;949
EXP2;siMICAL1-3;277;288;302;894
EXP2;siMICAL1-2;33;40;1437;965
EXP2;siMICAL1-2;76;93;316;758
EXP2;siMICAL1-2;82;95;957;101
EXP2;siMICAL1-2;84;98;373;401
EXP2;siMICAL1-2;125;137;1277;401
EXP2;siMICAL1-2;140;152;680;362
EXP2;siMICAL1-2;142;165;1524;720
EXP2;siMICAL1-2;167;185;1014;605
EXP2;siMICAL1-2;196;205;1249;924
EXP2;siMICAL1-2;206;214;1033;209
EXP2;siMICAL1-2;217;245;814;797
EXP2;siMICAL1-2;276;289;829;936
EXP2;siMICAL1-1;2;27;1078;192
EXP2;siMICAL1-1;19;34;872;298
EXP2;siMICAL1-1;54;67;200;592
EXP2;siMICAL1-1;65;90;750;542
EXP2;siMICAL1-1;84;100;249;684
EXP2;siMICAL1-1;115;127;450;128
EXP2;siMICAL1-1;121;137;324;810
EXP2;siMICAL1-1;127;141;153;398
EXP2;siMICAL1-1;143;166;656;853
EXP2;siMICAL1-1;161;178;814;294
EXP2;siMICAL1-1;160;174;933;374
EXP2;siMICAL1-1;127;152;1262;594
EXP2;siMICAL1-1;136;149;400;317
EXP2;siMICAL1-1;143;161;941;740
EXP2;siMICAL1-1;144;166;656;853
EXP2;siMICAL1-1;161;188;1529;860
EXP2;siMICAL1-1;185;201;640;589
EXP2;siMICAL1-1;195;210;928;477
EXP2;siMICAL1-1;218;239;920;176
EXP2;siMICAL1-1;227;246;104;720
EXP2;siMICAL1-1;235;253;1370;660
EXP2;siMICAL1-1;263;274;374;777
EXP3;Control-10;35;52;910;65
EXP3;Control-10;38;55;994;405
EXP3;Control-10;49;68;282;900
EXP3;Control-10;55;72;80;893
EXP3;Control-10;60;72;113;465
EXP3;Control-10;65;75;450;500
EXP3;Control-10;73;84;614;684
EXP3;Control-10;74;89;1145;920
EXP3;Control-10;93;106;1300;670
EXP3;Control-10;101;112;535;198
EXP3;Control-10;104;114;1377;312
EXP3;Control-10;119;136;1486;708
EXP3;Control-10;193;204;277;887
EXP3;Control-10;203;212;1103;1055
EXP3;Control-10;221;231;765;80
EXP3;Control-10;231;241;520;190
EXP3;Control-10;255;262;1230;668
EXP3;Control-10;257;266;1296;807
EXP3;Control-9;13;25;640;220
EXP3;Control-9;23;37;970;250
EXP3;Control-9;55;63;700;915
EXP3;Control-9;69;79;506;742
EXP3;Control-9;71;86;350;500
EXP3;Control-9;81;95;888;50
EXP3;Control-9;82;97;98;720
EXP3;Control-9;83;96;1062;109
EXP3;Control-9;94;110;966;1011
EXP3;Control-9;105;118;1546;665
EXP3;Control-9;127;150;366;1037
EXP3;Control-9;126;137;1120;613
EXP3;Control-9;131;151;1278;740
EXP3;Control-9;137;152;324;824
EXP3;Control-9;143;157;1072;240
EXP3;Control-9;143;160;1485;500
EXP3;Control-9;147;157;713;225
EXP3;Control-9;147;161;1340;660
EXP3;Control-9;150;163;930;360
EXP3;Control-9;167;180;710;1050
EXP3;Control-9;180;188;760;850
EXP3;Control-9;184;190;740;486
EXP3;Control-9;186;207;561;715
EXP3;Control-9;191;206;390;560
EXP3;Control-9;191;203;570;892
EXP3;Control-9;219;231;83;731
EXP3;Control-9;219;229;1430;790
EXP3;Control-9;238;248;1060;1070
EXP3;Control-9;240;247;980;950
EXP3;Control-9;240;250;1490;350
EXP3;Control-9;255;267;385;656
EXP3;Control-9;266;273;475;360
EXP3;Control-9;268;276;510;222
EXP3;Control-8;18;36;550;240
EXP3;Control-8;35;56;316;316
EXP3;Control-8;35;47;1300;330
EXP3;Control-8;76;92;1025;420
EXP3;Control-8;87;103;940;660
EXP3;Control-8;90;103;764;590
EXP3;Control-8;97;121;1160;720
EXP3;Control-8;121;144;381;435
EXP3;Control-8;135;149;400;1070
EXP3;Control-8;136;150;250;940
EXP3;Control-8;137;147;259;707
EXP3;Control-8;147;158;390;160
EXP3;Control-8;147;159;715;315
EXP3;Control-8;149;158;820;80
EXP3;Control-8;152;164;760;920
EXP3;Control-8;155;167;389;700
EXP3;Control-8;158;173;550;430
EXP3;Control-8;159;169;265;355
EXP3;Control-8;159;174;30;730
EXP3;Control-8;166;180;100;250
EXP3;Control-8;174;184;95;1005
EXP3;Control-8;176;182;1535;180
EXP3;Control-8;186;201;1215;290
EXP3;Control-8;189;201;1520;620
EXP3;Control-8;206;223;970;385
EXP3;Control-8;221;235;960;290
EXP3;Control-8;227;247;1018;665
EXP3;Control-8;229;244;1040;935
EXP3;Control-8;230;246;1135;680
EXP3;Control-8;233;254;1260;300
EXP3;Control-8;234;256;1225;841
EXP3;Control-8;238;249;530;560
EXP3;Control-8;245;255;615;670
EXP3;Control-7;6;17;450;860
EXP3;Control-7;14;34;1070;700
EXP3;Control-7;26;38;450;120
EXP3;Control-7;30;44;930;940
EXP3;Control-7;39;54;190;560
EXP3;Control-7;43;61;520;900
EXP3;Control-7;49;72;870;1060
EXP3;Control-7;58;73;530;700
EXP3;Control-7;59;73;370;190
EXP3;Control-7;59;76;1440;140
EXP3;Control-7;67;85;680;810
EXP3;Control-7;69;86;660;530
EXP3;Control-7;83;101;440;440
EXP3;Control-7;88;103;1370;1060
EXP3;Control-7;91;111;970;222
EXP3;Control-7;96;132;1170;300
EXP3;Control-7;96;113;950;810
EXP3;Control-7;115;128;1440;860
EXP3;Control-7;125;139;1120;560
